gain,respons_time
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
78.000000,820.924000
78.000000,764.894000
78.000000,798.380000
78.000000,771.125000
78.000000,809.374000
78.000000,831.748000
78.000000,758.638000
78.000000,756.998000
78.000000,848.929000
78.000000,835.615000
78.000000,824.976000
78.000000,763.033000
78.000000,822.898000
78.000000,841.046000
78.000000,841.832000
78.000000,819.526000
78.000000,849.210000
78.000000,834.902000
78.000000,820.283000
78.000000,791.174000
78.000000,769.586000
78.000000,824.336000
78.000000,818.015000
78.000000,786.263000
78.000000,834.983000
78.000000,823.087000
78.000000,782.920000
78.000000,842.765000
78.000000,827.257000
78.000000,778.377000
78.000000,837.653000
78.000000,846.339000
78.000000,817.870000
78.000000,812.872000
78.000000,818.704000
78.000000,778.968000
78.000000,818.744000
78.000000,810.824000
78.000000,839.869000
78.000000,847.877000
78.000000,836.827000
78.000000,829.469000
78.000000,828.888000
78.000000,791.436000
78.000000,813.149000
78.000000,789.926000
78.000000,840.606000
78.000000,822.064000
78.000000,814.889000
78.000000,823.486000
79.000000,309.213000
79.000000,326.704000
79.000000,278.184000
79.000000,277.027000
79.000000,313.717000
79.000000,283.791000
79.000000,288.649000
79.000000,308.900000
79.000000,284.158000
79.000000,284.895000
79.000000,321.132000
79.000000,287.969000
79.000000,276.689000
79.000000,279.122000
79.000000,309.515000
79.000000,253.305000
79.000000,285.991000
79.000000,317.334000
79.000000,260.371000
79.000000,276.548000
79.000000,291.340000
79.000000,274.199000
79.000000,330.945000
79.000000,275.388000
79.000000,310.534000
79.000000,274.662000
79.000000,287.622000
79.000000,288.182000
79.000000,328.416000
79.000000,284.846000
79.000000,277.358000
79.000000,288.473000
