gain,respons_time
75.000000,604.860000
75.000000,446.120000
75.000000,498.817000
75.000000,426.466000
75.000000,520.617000
75.000000,624.768000
75.000000,472.299000
75.000000,943.868000
75.000000,409.947000
75.000000,703.779000
75.000000,1159.085000
75.000000,694.977000
75.000000,493.661000
75.000000,500.931000
75.000000,344.126000
75.000000,694.462000
75.000000,1048.252000
75.000000,446.382000
75.000000,337.773000
75.000000,480.895000
75.000000,735.892000
75.000000,645.214000
75.000000,427.695000
75.000000,1024.324000
75.000000,438.724000
75.000000,1193.987000
75.000000,963.055000
75.000000,377.537000
75.000000,587.353000
75.000000,404.477000
75.000000,620.260000
75.000000,584.244000
75.000000,410.926000
75.000000,456.597000
75.000000,491.495000
75.000000,580.066000
75.000000,704.852000
75.000000,914.816000
75.000000,1117.969000
75.000000,429.846000
75.000000,482.874000
75.000000,459.515000
75.000000,476.037000
75.000000,575.063000
75.000000,478.454000
75.000000,710.475000
75.000000,416.553000
75.000000,466.463000
75.000000,603.997000
75.000000,1013.404000
76.000000,375.332000
76.000000,446.615000
76.000000,418.940000
76.000000,462.655000
76.000000,418.997000
76.000000,337.919000
76.000000,281.907000
76.000000,594.969000
76.000000,233.356000
76.000000,157.824000
76.000000,564.344000
76.000000,471.900000
76.000000,291.612000
76.000000,473.628000
76.000000,590.102000
76.000000,728.365000
76.000000,602.884000
76.000000,306.471000
76.000000,706.345000
76.000000,387.307000
76.000000,423.955000
76.000000,354.411000
76.000000,695.459000
76.000000,639.472000
76.000000,756.360000
76.000000,263.510000
76.000000,286.971000
76.000000,388.547000
76.000000,387.815000
76.000000,373.072000
76.000000,752.432000
76.000000,386.135000
76.000000,487.171000
76.000000,710.333000
76.000000,643.996000
76.000000,361.613000
76.000000,418.050000
76.000000,718.606000
76.000000,415.932000
76.000000,369.728000
76.000000,382.486000
76.000000,301.170000
76.000000,494.124000
76.000000,412.499000
76.000000,136.071000
76.000000,266.068000
76.000000,772.529000
76.000000,557.076000
76.000000,749.350000
76.000000,294.302000
77.000000,130.715000
77.000000,131.218000
77.000000,211.093000
77.000000,67.854000
77.000000,241.599000
77.000000,276.845000
77.000000,368.445000
77.000000,233.672000
77.000000,129.644000
77.000000,108.093000
77.000000,202.312000
77.000000,149.929000
77.000000,256.153000
77.000000,160.040000
77.000000,162.562000
77.000000,396.614000
77.000000,379.022000
77.000000,266.904000
77.000000,194.094000
77.000000,57.727000
77.000000,260.322000
77.000000,330.375000
77.000000,247.286000
77.000000,192.442000
77.000000,55.467000
77.000000,223.455000
77.000000,315.401000
77.000000,233.784000
77.000000,182.985000
77.000000,73.690000
77.000000,127.557000
77.000000,177.406000
77.000000,236.657000
77.000000,111.979000
77.000000,162.550000
77.000000,389.564000
77.000000,198.735000
77.000000,138.432000
77.000000,239.045000
77.000000,281.182000
77.000000,165.950000
77.000000,273.365000
77.000000,191.001000
77.000000,81.901000
77.000000,266.098000
77.000000,257.651000
77.000000,228.325000
77.000000,243.710000
77.000000,327.745000
77.000000,116.386000
78.000000,144.753000
78.000000,243.210000
78.000000,298.196000
78.000000,156.685000
78.000000,47.223000
78.000000,127.876000
78.000000,157.358000
78.000000,220.885000
78.000000,78.361000
78.000000,300.245000
78.000000,138.457000
78.000000,71.401000
78.000000,207.878000
78.000000,97.519000
78.000000,193.474000
78.000000,53.419000
78.000000,31.272000
78.000000,82.257000
78.000000,271.298000
78.000000,148.741000
78.000000,266.589000
78.000000,94.140000
78.000000,11.038000
78.000000,310.453000
78.000000,91.945000
78.000000,123.891000
78.000000,186.818000
78.000000,315.980000
78.000000,192.415000
78.000000,204.777000
78.000000,198.049000
78.000000,100.145000
78.000000,51.332000
78.000000,161.865000
78.000000,88.996000
78.000000,111.646000
78.000000,117.145000
78.000000,157.563000
78.000000,88.158000
78.000000,136.633000
78.000000,182.445000
78.000000,120.705000
78.000000,89.685000
78.000000,115.312000
78.000000,107.582000
78.000000,144.986000
78.000000,86.527000
78.000000,116.287000
78.000000,200.266000
78.000000,111.702000
79.000000,29.869000
79.000000,143.613000
79.000000,113.526000
79.000000,92.504000
79.000000,176.474000
79.000000,32.311000
79.000000,72.292000
79.000000,81.499000
79.000000,43.836000
79.000000,54.060000
79.000000,102.631000
79.000000,98.414000
79.000000,154.051000
79.000000,129.994000
79.000000,97.241000
79.000000,74.104000
79.000000,83.735000
79.000000,68.653000
79.000000,166.288000
79.000000,104.645000
79.000000,37.563000
79.000000,49.914000
79.000000,82.434000
79.000000,140.447000
79.000000,40.250000
79.000000,35.010000
79.000000,66.812000
79.000000,89.257000
79.000000,153.028000
79.000000,45.652000
79.000000,112.376000
79.000000,50.180000
79.000000,156.720000
79.000000,9.672000
79.000000,52.537000
79.000000,59.400000
79.000000,116.335000
79.000000,123.904000
79.000000,136.592000
79.000000,21.886000
79.000000,52.082000
79.000000,87.892000
79.000000,65.156000
79.000000,90.357000
79.000000,85.282000
79.000000,60.419000
79.000000,129.225000
79.000000,86.338000
79.000000,33.117000
79.000000,97.201000
80.000000,135.110000
80.000000,115.726000
80.000000,37.351000
80.000000,36.342000
80.000000,115.565000
80.000000,44.992000
80.000000,70.224000
80.000000,29.076000
80.000000,105.007000
80.000000,23.529000
80.000000,111.863000
80.000000,54.546000
80.000000,37.486000
80.000000,122.409000
80.000000,58.610000
80.000000,116.420000
80.000000,101.459000
80.000000,24.871000
80.000000,127.944000
80.000000,103.235000
80.000000,127.397000
80.000000,74.974000
80.000000,77.298000
80.000000,13.568000
80.000000,31.541000
80.000000,37.821000
80.000000,43.255000
80.000000,110.260000
80.000000,21.282000
80.000000,17.055000
80.000000,40.118000
80.000000,34.080000
80.000000,102.948000
80.000000,20.573000
80.000000,16.210000
80.000000,62.881000
80.000000,54.704000
80.000000,52.315000
80.000000,36.915000
80.000000,89.386000
80.000000,29.635000
80.000000,113.939000
80.000000,35.469000
80.000000,21.652000
80.000000,36.186000
80.000000,64.843000
80.000000,123.569000
80.000000,52.400000
80.000000,45.935000
80.000000,125.330000
81.000000,20.777000
81.000000,49.176000
81.000000,57.458000
81.000000,27.368000
81.000000,108.841000
81.000000,54.319000
81.000000,48.709000
81.000000,15.642000
81.000000,32.346000
81.000000,61.961000
81.000000,34.993000
81.000000,14.349000
81.000000,21.817000
81.000000,40.201000
81.000000,60.692000
81.000000,36.954000
81.000000,43.182000
81.000000,32.109000
81.000000,54.534000
81.000000,16.415000
81.000000,38.111000
81.000000,20.088000
81.000000,40.608000
81.000000,74.497000
81.000000,16.105000
81.000000,43.117000
81.000000,39.565000
81.000000,37.676000
81.000000,12.170000
81.000000,28.789000
81.000000,42.143000
81.000000,55.311000
81.000000,22.470000
81.000000,29.478000
81.000000,65.901000
81.000000,73.813000
81.000000,87.863000
81.000000,31.513000
81.000000,61.381000
81.000000,65.708000
81.000000,25.769000
81.000000,20.943000
81.000000,38.836000
81.000000,16.060000
81.000000,36.894000
81.000000,45.023000
81.000000,83.445000
81.000000,63.472000
81.000000,87.807000
81.000000,102.678000
82.000000,15.348000
82.000000,37.326000
82.000000,8.210000
82.000000,17.511000
82.000000,32.605000
82.000000,38.711000
82.000000,18.764000
