gain,respons_time
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
75.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
76.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
77.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
78.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
79.000000,0.000000
